,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
602,35.64,37.95,2.31,37.95,29.40,28.65,0.76,29.40,25.44,25.02,0.41,0.06,18.99,51.68,33.64,0.88,0.88,-22.42,-21.99
603,34.40,34.63,0.23,34.63,28.57,28.82,0.25,28.82,24.55,25.28,0.73,0.06,33.28,63.49,31.88,0.86,0.89,-21.24,-23.17
604,35.27,35.75,0.48,35.75,28.92,27.18,1.74,28.92,24.94,24.38,0.56,0.04,20.60,52.33,32.76,0.88,0.90,-21.84,-22.35
605,40.42,36.59,3.83,40.42,30.00,28.93,1.08,30.00,26.71,25.10,1.61,0.05,23.00,54.32,32.46,0.84,0.90,-19.94,-25.33
606,38.67,35.03,3.64,38.67,28.38,29.32,0.93,29.32,25.77,25.21,0.56,0.06,20.62,50.36,30.77,0.83,0.92,-19.42,-25.98
607,30.29,32.89,2.61,32.89,23.20,28.71,5.51,28.71,20.45,24.01,3.56,0.04,16.80,51.66,35.69,0.81,0.87,-14.13,-21.55
608,33.74,35.87,2.13,35.87,27.79,30.82,3.02,30.82,25.00,26.37,1.37,0.05,24.76,53.59,30.07,0.87,0.88,-22.12,-24.33
609,35.85,31.45,4.40,35.85,30.85,27.60,3.26,30.85,26.11,23.36,2.75,0.04,26.04,55.35,30.61,0.86,0.88,-22.39,-21.88
610,35.50,40.18,4.68,40.18,27.00,33.09,6.09,33.09,23.43,27.62,4.19,0.18,20.58,50.39,30.84,0.83,0.86,-20.03,-23.67
611,34.95,36.74,1.79,36.74,29.45,30.08,0.63,30.08,25.46,25.78,0.32,0.06,22.67,52.74,31.20,0.87,0.83,-23.75,-20.88
612,42.81,35.10,7.71,42.81,30.72,27.79,2.93,30.72,27.40,24.43,2.97,0.07,23.29,52.06,29.94,0.89,0.89,-23.21,-24.06
613,36.77,37.24,0.47,37.24,28.14,28.59,0.45,28.59,25.32,25.01,0.31,0.09,24.18,56.96,33.99,0.91,0.85,-22.77,-21.12
