,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,s_1,s_2
88,37.41,32.38,5.03,37.41,26.77,23.03,3.74,26.77,24.95,22.63,2.32,0.08,55.59,90.00,37.19,26.41,23.98
89,35.96,30.49,5.48,35.96,28.02,25.13,2.89,28.02,24.63,22.49,2.13,0.06,54.60,90.00,38.13,29.01,25.92
90,29.96,29.95,0.01,29.96,23.73,24.51,0.78,24.51,22.56,22.21,0.35,0.03,55.16,90.00,37.59,25.33,25.21
91,33.78,35.47,1.70,35.47,28.35,28.40,0.05,28.40,25.87,25.77,0.10,0.05,59.78,90.00,33.21,28.21,28.11
92,35.38,34.29,1.08,35.38,27.62,26.35,1.26,27.62,24.31,23.65,0.66,0.06,57.88,90.00,35.01,27.56,26.50
93,34.36,33.84,0.52,34.36,27.57,27.36,0.20,27.57,24.57,24.68,0.11,0.03,58.68,90.00,34.25,28.17,27.65
94,30.81,28.43,2.38,30.81,26.96,26.31,0.65,26.96,23.93,23.03,0.90,0.01,58.15,90.00,34.76,27.35,26.94
95,35.82,34.39,1.43,35.82,26.58,27.07,0.49,27.07,24.87,24.50,0.36,0.06,57.04,90.00,35.81,26.50,26.97
96,34.88,34.22,0.66,34.88,27.04,25.89,1.15,27.04,23.84,23.75,0.09,0.05,58.30,90.00,34.62,26.62,26.28
97,37.15,37.50,0.35,37.50,25.93,20.25,5.67,25.93,24.16,20.85,3.31,0.10,55.47,90.00,37.31,26.72,20.54
98,31.91,32.96,1.05,32.96,25.38,26.52,1.13,26.52,23.08,24.48,1.41,0.02,56.12,90.00,36.69,24.78,27.59
99,34.92,34.45,0.47,34.92,28.64,28.64,0.00,28.64,25.17,24.76,0.42,0.04,61.01,90.00,32.04,29.47,29.52
100,33.48,34.60,1.13,34.60,29.10,28.47,0.63,29.10,25.35,25.36,0.01,0.04,57.07,90.00,35.79,29.27,28.32
101,37.69,36.77,0.92,37.69,27.36,27.64,0.28,27.64,26.28,25.88,0.41,0.07,54.45,90.00,38.27,28.45,28.54
102,32.64,32.27,0.37,32.64,24.49,27.81,3.32,27.81,22.58,24.73,2.16,0.01,53.05,90.00,39.60,24.36,27.90
103,31.37,37.43,6.06,37.43,24.47,29.70,5.23,29.70,23.09,26.75,3.66,0.04,57.17,90.00,35.69,24.70,29.68
104,29.56,30.30,0.74,30.30,24.26,23.49,0.78,24.26,21.63,21.74,0.11,0.04,56.65,90.00,36.18,24.71,24.48
105,32.05,35.22,3.17,35.22,25.26,28.05,2.79,28.05,22.21,24.99,2.78,0.04,57.52,90.00,35.36,25.27,28.51
106,30.44,32.03,1.59,32.03,24.89,23.82,1.07,24.89,22.39,22.46,0.07,0.04,55.67,90.00,37.11,25.42,25.33
107,34.28,30.85,3.43,34.28,27.11,26.23,0.89,27.11,23.76,23.17,0.59,0.04,56.76,90.00,36.08,26.53,26.70
108,37.09,30.36,6.74,37.09,24.56,24.98,0.42,24.98,24.22,23.64,0.58,0.05,55.28,90.00,37.49,25.07,25.70
109,34.31,35.74,1.43,35.74,25.32,28.97,3.65,28.97,24.03,25.60,1.57,0.04,54.85,90.00,37.89,24.95,28.65
110,34.35,33.22,1.13,34.35,28.44,28.53,0.09,28.53,24.77,24.03,0.74,0.06,64.38,90.00,28.84,29.28,29.22
111,32.19,36.61,4.43,36.61,25.67,26.47,0.80,26.47,23.56,25.43,1.86,0.06,54.08,90.00,38.62,27.12,27.02
112,34.49,36.47,1.98,36.47,27.63,28.84,1.21,28.84,25.37,25.93,0.56,0.07,60.21,90.00,32.80,28.52,29.26
