,CVaR0,CVaR1,$|CVaR_2 - CVaR_1|$,Max CVaR,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
945,32.94,35.09,2.15,35.09,26.84,27.81,0.97,27.81,24.16,24.04,0.12,0.05,62.82,90.00,30.32,0.86,0.86,-21.45,-22.27
946,35.66,33.22,2.44,35.66,29.77,28.46,1.31,29.77,25.63,24.49,1.14,0.05,47.01,75.72,31.06,0.89,0.88,-24.32,-22.11
947,35.70,41.41,5.71,41.41,26.33,33.77,7.43,33.77,22.58,27.68,5.10,0.08,45.74,77.31,33.85,0.80,0.89,-15.60,-26.51
948,36.61,41.38,4.77,41.38,26.03,31.52,5.49,31.52,23.55,28.54,4.99,0.08,49.53,84.74,37.69,0.85,0.88,-18.69,-24.19
949,37.60,44.27,6.67,44.27,27.55,31.07,3.51,31.07,24.49,26.87,2.38,0.08,56.19,90.00,36.62,0.91,0.89,-22.45,-22.36
950,34.67,36.79,2.12,36.79,27.76,31.74,3.98,31.74,23.71,26.91,3.19,0.03,57.87,87.03,32.05,0.80,0.88,-16.57,-26.59
951,36.81,33.91,2.90,36.81,30.26,27.09,3.17,30.26,25.06,24.90,0.16,0.06,54.62,87.17,35.28,0.85,0.90,-20.72,-22.84
952,34.36,42.99,8.63,42.99,29.50,32.76,3.26,32.76,25.56,29.59,4.04,0.06,56.35,88.34,34.80,0.84,0.85,-22.10,-23.45
953,38.41,39.12,0.71,39.12,32.12,31.64,0.48,32.12,26.96,27.13,0.18,0.07,58.42,87.94,32.44,0.88,0.82,-25.04,-21.43
954,36.38,33.63,2.76,36.38,29.95,27.50,2.45,29.95,24.62,24.23,0.40,0.04,48.83,74.89,28.50,0.87,0.84,-23.72,-21.56
955,34.53,34.16,0.37,34.53,26.80,30.23,3.43,30.23,23.12,26.14,3.01,0.02,47.89,79.01,33.52,0.83,0.92,-17.85,-26.04
956,35.08,36.60,1.52,36.60,27.10,28.68,1.57,28.68,23.68,25.28,1.60,0.07,57.23,90.00,35.63,0.87,0.83,-21.24,-19.56
957,37.84,38.71,0.87,38.71,29.94,30.59,0.65,30.59,24.31,25.21,0.90,0.05,45.03,77.95,35.17,0.85,0.88,-18.72,-23.43
958,34.87,40.11,5.24,40.11,24.05,29.81,5.76,29.81,20.32,25.69,5.37,0.09,47.25,85.41,40.52,0.82,0.88,-13.24,-21.68
959,39.53,36.08,3.46,39.53,27.84,32.18,4.35,32.18,25.41,26.51,1.10,0.07,61.63,90.00,31.45,0.86,0.89,-20.91,-24.86
960,40.06,35.25,4.81,40.06,29.23,27.45,1.77,29.23,26.13,24.15,1.98,0.07,50.09,77.21,29.63,0.89,0.83,-24.42,-20.15
961,32.48,36.38,3.90,36.38,24.79,28.89,4.09,28.89,22.26,24.39,2.13,0.06,58.53,90.00,34.40,0.83,0.88,-16.92,-22.43
962,37.00,34.12,2.88,37.00,27.85,28.21,0.36,28.21,25.12,23.51,1.61,0.12,51.75,77.34,28.18,0.88,0.82,-24.01,-19.02
963,36.00,34.08,1.92,36.00,26.43,29.79,3.36,29.79,23.01,24.84,1.84,0.08,58.39,87.88,32.41,0.85,0.88,-19.67,-23.54
964,35.46,37.29,1.83,37.29,26.07,28.87,2.80,28.87,23.08,25.65,2.56,0.09,45.04,79.84,37.05,0.86,0.88,-18.16,-21.86
965,33.48,40.31,6.83,40.31,25.54,30.86,5.32,30.86,23.61,25.82,2.21,0.07,45.26,80.24,37.24,0.87,0.89,-19.35,-22.96
