,VaR0,VaR1,$|VaR_2 - VaR_1|$,Max VaR,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,Payout Cost,s_1,s_2
333,5.79,5.22,0.57,5.79,4.70,4.40,0.31,0.00,9.99,16.00,7.51,600.95,4.86,4.46
334,4.97,5.40,0.43,5.40,4.05,4.44,0.39,0.00,6.55,12.89,7.32,633.86,4.18,4.45
335,6.91,5.44,1.47,6.91,5.91,4.57,1.34,0.03,9.74,14.34,6.06,460.09,6.27,4.59
336,6.86,5.78,1.09,6.86,5.98,4.76,1.23,0.03,8.21,12.62,5.64,441.13,6.06,4.72
337,6.68,7.42,0.74,7.42,5.59,6.36,0.77,0.06,11.56,14.89,5.07,333.18,5.85,6.59
338,5.87,6.64,0.77,6.64,4.90,5.62,0.72,0.03,10.07,14.17,5.61,410.06,4.95,6.12
339,5.21,5.95,0.74,5.95,4.27,5.16,0.89,0.00,6.77,12.57,6.81,579.76,4.46,4.97
340,5.60,5.51,0.09,5.60,4.71,4.68,0.03,0.00,9.00,15.35,7.70,635.38,5.01,4.47
341,5.14,5.74,0.59,5.74,4.14,4.78,0.65,0.00,9.96,16.00,7.53,603.60,4.30,4.90
342,6.37,5.76,0.60,6.37,5.47,4.85,0.62,0.00,9.68,14.67,6.44,498.60,5.76,4.88
343,5.82,7.32,1.50,7.32,4.79,6.02,1.23,0.08,10.35,14.41,5.62,406.33,4.85,6.49
344,5.56,6.99,1.43,6.99,4.65,6.00,1.34,0.03,10.72,15.45,6.34,473.08,4.82,6.02
345,5.20,5.71,0.51,5.71,4.34,4.71,0.37,0.00,8.22,14.72,7.73,649.85,4.46,4.71
346,6.63,4.90,1.72,6.63,5.66,4.12,1.54,0.04,8.98,13.81,6.19,483.89,6.27,4.29
347,7.22,5.82,1.41,7.22,6.16,4.84,1.32,0.06,7.91,12.47,5.75,456.06,6.48,4.73
348,5.15,5.21,0.06,5.21,4.17,4.53,0.36,0.00,8.82,16.00,8.51,718.50,4.20,4.46
349,6.99,5.31,1.67,6.99,5.88,4.36,1.52,0.03,11.12,15.78,6.33,465.96,6.39,4.37
350,7.00,4.93,2.07,7.00,6.06,4.07,1.99,0.02,6.56,11.75,6.18,519.42,6.28,4.17
351,5.78,5.15,0.63,5.78,4.96,4.17,0.79,0.00,9.53,15.65,7.56,612.84,4.95,4.11
352,5.17,5.20,0.03,5.20,4.30,4.20,0.10,0.00,8.48,15.14,7.93,666.15,4.19,4.31
353,5.58,6.90,1.33,6.90,4.73,5.82,1.09,0.00,10.51,14.81,5.88,429.86,4.79,6.19
354,5.98,5.49,0.49,5.98,5.00,4.62,0.38,0.01,7.19,11.77,5.66,457.87,5.04,4.68
355,6.28,5.51,0.77,6.28,5.52,4.63,0.89,0.01,8.12,13.24,6.33,511.41,5.51,4.68
356,5.19,5.10,0.09,5.19,4.41,4.08,0.32,0.00,9.60,16.00,7.84,639.59,4.48,4.16
