,NetLoss0,NetLoss1,$|L_2 - L_1|$,$P(L > Q(0.6))$,Required Capital,Payout CVaR,Average Cost,a_1,a_2,b_1,b_2
307,22.63,24.51,1.88,0.06,57.49,89.37,34.75,0.88,0.87,-20.33,-21.34
308,25.39,24.41,0.98,0.05,57.27,90.00,35.59,0.88,0.86,-22.22,-20.78
309,23.91,24.48,0.58,0.03,53.16,84.14,33.64,0.84,0.84,-20.18,-20.66
310,24.25,24.91,0.66,0.03,55.14,85.92,33.54,0.87,0.88,-21.47,-21.80
311,28.47,24.79,3.69,0.06,56.15,86.85,33.52,0.95,0.90,-28.05,-22.84
312,22.12,27.45,5.32,0.10,53.50,83.81,32.98,0.85,0.92,-17.94,-26.76
313,25.94,23.05,2.89,0.08,58.68,90.00,34.25,0.90,0.85,-24.57,-18.48
314,24.21,23.14,1.07,0.06,51.14,82.74,34.16,0.84,0.87,-19.46,-20.94
315,25.73,25.44,0.29,0.11,57.24,89.63,35.26,0.90,0.87,-24.11,-20.95
316,25.24,26.24,0.99,0.08,47.84,77.94,32.50,0.88,0.91,-21.75,-26.35
317,22.45,24.36,1.91,0.01,50.94,83.63,35.23,0.85,0.90,-17.70,-24.81
318,24.81,25.56,0.76,0.09,59.82,87.24,30.41,0.89,0.87,-23.18,-22.28
319,21.10,23.51,2.40,0.03,48.31,81.35,35.46,0.85,0.87,-15.85,-21.32
320,22.83,23.74,0.91,0.06,47.53,78.86,33.70,0.87,0.86,-20.63,-19.87
321,26.61,24.72,1.89,0.05,54.64,84.94,33.03,0.89,0.86,-25.16,-21.20
322,24.92,24.18,0.74,0.05,39.68,71.31,33.61,0.89,0.89,-22.85,-22.37
323,24.66,26.06,1.40,0.10,51.36,82.05,33.25,0.87,0.89,-21.37,-24.35
324,26.47,22.00,4.48,0.10,55.85,90.00,36.94,0.90,0.86,-25.28,-17.80
325,24.42,26.46,2.03,0.05,56.18,82.88,29.51,0.87,0.90,-22.83,-25.67
326,26.47,22.50,3.97,0.03,46.38,75.14,31.07,0.92,0.89,-25.36,-22.51
327,20.98,24.31,3.34,0.10,56.84,85.78,31.78,0.81,0.86,-15.51,-21.51
328,26.69,25.45,1.24,0.03,48.97,81.75,35.23,0.89,0.85,-24.74,-20.62
329,24.12,25.55,1.42,0.07,47.25,80.99,36.10,0.87,0.88,-21.28,-21.54
330,26.25,24.73,1.52,0.07,55.42,85.33,32.69,0.89,0.91,-23.37,-22.91
331,23.97,26.37,2.39,0.09,52.00,81.80,32.39,0.87,0.89,-21.11,-24.19
332,23.50,24.56,1.06,0.07,42.38,75.44,35.18,0.81,0.89,-16.68,-22.84
333,21.98,24.31,2.33,0.02,48.98,82.53,36.00,0.89,0.91,-19.98,-23.06
334,25.48,24.64,0.84,0.03,39.68,69.17,31.47,0.87,0.86,-22.72,-21.92
335,25.18,22.81,2.37,0.06,60.99,90.00,32.06,0.86,0.89,-21.08,-21.81
336,24.04,24.66,0.62,0.03,55.16,85.11,32.70,0.88,0.88,-22.59,-22.82
337,23.54,26.48,2.95,0.07,54.60,90.00,38.13,0.85,0.92,-18.08,-25.40
338,25.50,25.41,0.10,0.04,51.40,82.07,33.24,0.88,0.88,-22.63,-22.64
