Zone,Tambon,Year,WeightedLoss,WeightSum,min_plant_date,max_plant_date,Loss
C1,12-3-2,2019,0.0,157000.0,2019-05-01,2019-10-27,0.0
C1,12-3-2,2020,0.0,141992.0,2020-05-01,2020-08-21,0.0
C1,12-3-2,2021,0.0,190045.0,2021-05-01,2021-07-01,0.0
C1,12-3-2,2022,0.0,236012.0,2022-05-01,2022-06-30,0.0
C1,12-3-4,2015,0.0,46100.0,2015-05-01,2015-07-27,0.0
C1,12-3-4,2016,0.0,83200.0,2016-05-25,2016-08-21,0.0
C1,12-3-4,2017,0.0,70767.0,2017-05-04,2017-07-15,0.0
C1,12-3-4,2018,0.0,62967.0,2018-05-01,2018-08-13,0.0
C1,12-3-4,2019,0.0,69767.0,2019-05-01,2019-07-04,0.0
C1,12-3-4,2020,0.0,81645.0,2020-05-01,2020-06-09,0.0
C1,12-3-4,2021,0.0,84878.0,2021-05-01,2021-08-06,0.0
C1,12-3-4,2022,900.0,95378.0,2022-05-01,2022-07-08,0.00943613831281847
C1,12-3-5,2015,0.0,137535.0,2015-05-01,2015-08-04,0.0
C1,12-3-5,2016,0.0,230532.0,2016-05-01,2016-08-13,0.0
C1,12-3-5,2017,0.0,221117.0,2017-05-01,2017-09-01,0.0
C1,12-3-5,2018,0.0,181352.0,2018-05-01,2018-07-02,0.0
C1,12-3-5,2019,0.0,177184.0,2019-05-01,2019-08-08,0.0
C1,12-3-5,2020,0.0,221402.0,2020-05-01,2020-08-04,0.0
C1,12-3-5,2021,0.0,254425.0,2021-05-01,2021-07-20,0.0
C1,12-3-5,2022,0.0,273608.0,2022-05-01,2022-07-23,0.0
C1,12-3-6,2015,0.0,477778.0,2015-05-01,2015-09-02,0.0
C1,12-3-6,2016,0.0,732779.0,2016-05-01,2016-08-19,0.0
C1,12-3-6,2017,0.0,977323.0,2017-05-01,2017-09-08,0.0
C1,12-3-6,2018,0.0,897225.0,2018-05-01,2018-08-30,0.0
C1,12-3-6,2019,0.0,805189.0,2019-05-01,2019-10-02,0.0
C1,12-3-6,2020,0.0,1004937.0,2020-05-01,2020-08-17,0.0
C1,12-3-6,2021,0.0,979220.0,2021-05-01,2021-08-20,0.0
C1,12-3-6,2022,0.0,1093235.0,2022-05-01,2022-08-20,0.0
C1,12-4-2,2015,0.0,136900.0,2015-05-01,2015-09-15,0.0
C1,12-4-2,2016,0.0,417167.0,2016-05-01,2016-08-11,0.0
C1,12-4-2,2017,0.0,470066.0,2017-05-01,2017-09-20,0.0
C1,12-4-2,2018,0.0,264296.0,2018-05-01,2018-10-15,0.0
C1,12-4-2,2019,0.0,235385.0,2019-05-01,2019-10-16,0.0
C1,12-4-2,2020,0.0,208396.0,2020-05-01,2020-08-01,0.0
C1,12-4-2,2021,0.0,372612.0,2021-05-01,2021-09-18,0.0
C1,12-4-2,2022,0.0,439701.0,2022-05-01,2022-10-29,0.0
C1,12-4-4,2015,0.0,456869.0,2015-05-01,2015-10-25,0.0
C1,12-4-4,2016,0.0,581357.0,2016-05-01,2016-08-15,0.0
C1,12-4-4,2017,0.0,762545.0,2017-05-01,2017-08-18,0.0
C1,12-4-4,2018,0.0,378686.0,2018-05-01,2018-10-15,0.0
C1,12-4-4,2019,0.0,500814.0,2019-05-01,2019-10-25,0.0
C1,12-4-4,2020,0.0,534843.0,2020-05-01,2020-09-08,0.0
C1,12-4-4,2021,0.0,468913.0,2021-05-01,2021-08-25,0.0
C1,12-4-4,2022,4700.0,673713.0,2022-05-01,2022-10-31,0.006976264373702155
C1,12-4-5,2015,0.0,73430.0,2015-05-01,2015-08-05,0.0
C1,12-4-5,2016,0.0,410922.0,2016-05-02,2016-09-14,0.0
C1,12-4-5,2017,0.0,261625.0,2017-05-01,2017-07-25,0.0
C1,12-4-5,2018,0.0,219759.0,2018-05-01,2018-10-20,0.0
C1,12-4-5,2019,0.0,249030.0,2019-05-01,2019-10-21,0.0
C1,12-4-5,2020,0.0,244800.0,2020-05-01,2020-09-20,0.0
C1,12-4-5,2021,0.0,245663.0,2021-05-01,2021-09-01,0.0
C1,12-4-5,2022,8400.0,419796.0,2022-05-01,2022-07-05,0.020009719006374525
C1,12-4-6,2015,0.0,205000.0,2015-05-01,2015-08-08,0.0
C1,12-4-6,2016,0.0,281000.0,2016-05-01,2016-08-15,0.0
C1,12-4-6,2017,0.0,236510.0,2017-05-01,2017-08-15,0.0
C1,12-4-6,2018,0.0,106928.0,2018-05-01,2018-08-22,0.0
C1,12-4-6,2019,0.0,204602.0,2019-05-01,2019-10-15,0.0
C1,12-4-6,2020,0.0,248537.0,2020-05-01,2020-06-30,0.0
C1,12-4-6,2021,0.0,124398.0,2021-05-01,2021-07-29,0.0
C1,12-4-6,2022,0.0,266138.0,2022-05-01,2022-07-10,0.0
C1,12-4-7,2015,0.0,129400.0,2015-05-01,2015-08-02,0.0
C1,12-4-7,2016,0.0,220848.0,2016-05-01,2016-09-10,0.0
C1,12-4-7,2017,0.0,184610.0,2017-05-01,2017-08-10,0.0
C1,12-4-7,2018,0.0,112010.0,2018-05-01,2018-07-15,0.0
